data_path,case_name
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130424,MM130424
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM131024,MM131024
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130054,MM130054
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM131017,MM131017
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130236,MM130236
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130140,MM130140
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130590,MM130590
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130411,MM130411
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130490,MM130490
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130555,MM130555
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130317,MM130317
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130908,MM130908
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130312,MM130312
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130675,MM130675
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130401,MM130401
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130801,MM130801
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130831,MM130831
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM131034,MM131034
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130976,MM130976
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130985,MM130985
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130357,MM130357
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130035,MM130035
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130580,MM130580
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130562,MM130562
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130966,MM130966
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130352,MM130352
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130237,MM130237
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130324,MM130324
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130294,MM130294
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130153,MM130153
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130162,MM130162
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130332,MM130332
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130796,MM130796
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM131006,MM131006
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM131028,MM131028
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130148,MM130148
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130138,MM130138
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130752,MM130752
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130457,MM130457
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130059,MM130059
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130540,MM130540
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130658,MM130658
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130924,MM130924
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130530,MM130530
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130301,MM130301
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130325,MM130325
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130607,MM130607
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130824,MM130824
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM131033,MM131033
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130784,MM130784
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130916,MM130916
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM131009,MM131009
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130094,MM130094
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130289,MM130289
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130969,MM130969
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130873,MM130873
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130027,MM130027
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130247,MM130247
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130400,MM130400
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130692,MM130692
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130132,MM130132
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130983,MM130983
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130092,MM130092
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130174,MM130174
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130695,MM130695
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130398,MM130398
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130327,MM130327
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130537,MM130537
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM131059,MM131059
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130303,MM130303
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130585,MM130585
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130783,MM130783
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130291,MM130291
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130003,MM130003
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130333,MM130333
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130611,MM130611
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130581,MM130581
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130738,MM130738
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130665,MM130665
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130439,MM130439
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130627,MM130627
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130623,MM130623
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130501,MM130501
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130030,MM130030
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130253,MM130253
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130883,MM130883
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130679,MM130679
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM131042,MM131042
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130389,MM130389
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130480,MM130480
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130315,MM130315
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130694,MM130694
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130297,MM130297
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130965,MM130965
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130313,MM130313
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130603,MM130603
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130979,MM130979
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130614,MM130614
/workspace/QCT_Segmentation/pfdaformer/data/tulane_qct/preprocessed_training_data/MM130032,MM130032
